Kategori;Tindak Lanjut/Arahan;Rekomendasi ;PIC;Status ;Rapat ;Tanggal Rapat;Due Date;Durasi-Tgl Rapat;Durasi-DueDate;Email Due Reminder;Keterangan ; ; ; ; ; ; ; ; ; ; ; ; ; 
Program Strategis ;Kegiatan pertemuan dengan serikat pekerja diarahkan untuk membangun hubungan industrial yang harmonis dalam rangka meningkatkan kesadaran untuk berkontribusi dalam meningkatkan produktivitas dan kinerja perusahaan;"1. Membuat jadwal pertemuan rutin dengan serikat pekerja 
2. Menetapkan topik diskusi yang fokus pada peningkatan produktivitas dan kesejahteraan pekerja.
3. Menyajikan data produktivitas dan dampaknya terhadap perusahaan untuk meningkatkan pemahaman pekerja.
4. Mengadakan sesi pelatihan atau workshop terkait efisiensi kerja dan peran pekerja dalam pencapaian target perusahaan.";Divisi Sumber Daya Manusia;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Program Strategis ;Perbaikan vending machine agar tidak banyak yang eror sehingga mampu meningkatkan jumlah pelanggan berbayar.;;Divisi Penjualan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Program Strategis ;Jumlah bus BRT bulan Januari sebanyak 854 unit dengan total pelanggan 12.169.192 atau perhari/bus membawa 474,98 orang. Load factor BRT masih dapat ditingkatkan menjadi 600 pelanggan/bus/hari.;"Membuat evaluasi dan strategi untuk peningkatan load factor BRT, misal:
1. Menyesuaikan jadwal dan frekuensi layanan di peak-hour untuk meningkatkan keterisian bus.
2. Evaluasi konektivitas dengan Mikrotrans dan layanan pendukung lainnya untuk meningkatkan jumlah pelanggan.
3. Melakukan strategi pemasaran dan promosi (massive generic promotion)";Divisi Operasional Bus;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Program Strategis ;Jumlah bus BRT bulan Januari sebanyak 854 unit dengan total pelanggan 12.169.192 atau perhari/bus membawa 474,98 orang. Load factor BRT masih dapat ditingkatkan menjadi 600 pelanggan/bus/hari.;"Membuat evaluasi dan strategi untuk peningkatan load factor BRT, misal:
1. Menyesuaikan jadwal dan frekuensi layanan di peak-hour untuk meningkatkan keterisian bus.
2. Evaluasi konektivitas dengan Mikrotrans dan layanan pendukung lainnya untuk meningkatkan jumlah pelanggan.
3. Melakukan strategi pemasaran dan promosi (massive generic promotion)";Divisi Integrasi Angkutan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Program Strategis ;Jumlah bus BRT bulan Januari sebanyak 854 unit dengan total pelanggan 12.169.192 atau perhari/bus membawa 474,98 orang. Load factor BRT masih dapat ditingkatkan menjadi 600 pelanggan/bus/hari.;"Membuat evaluasi dan strategi untuk peningkatan load factor BRT, misal:
1. Menyesuaikan jadwal dan frekuensi layanan di peak-hour untuk meningkatkan keterisian bus.
2. Evaluasi konektivitas dengan Mikrotrans dan layanan pendukung lainnya untuk meningkatkan jumlah pelanggan.
3. Melakukan strategi pemasaran dan promosi (massive generic promotion)";Divisi Operasional Bus;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Lainnya;Dewan Komisaris meminta penjelasan terhadap pembinaan terhadap petugas keamanan yang saat ini ditugaskan di 3 bagian (Dept. Umum, Depo dan Jalur).;;Divisi Sumber Daya Manusia;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
;Manajemen Risiko agar bersama risk owner untuk melakukan identifikasi secara menyeluruh terhadap bisnis proses yang perlu disesuaikan dan dimodifikasi pada saat full implementasi ERP.;Sedang dilakukan proses pemetaan proses ;Divisi Perencanaan Perusahaan dan Manajemen Risiko;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
;Pengembangan eksisting sistem e-learning dihubungkan melalui portal;;Divisi Sumber Daya Manusia dan Umum;Open;BOC;21-Mar-25;30-Jun-25;424;323;;;;;;;;;;;;;;;
Lainnya;Daftar lokasi-lokasi penempatan fasilitas halte ujung dan lokasi rencana penempatan berikutnya;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOC;21-Mar-25;10-Apr-25;424;404;;;;;;;;;;;;;;;
Lainnya;Daftar lokasi-lokasi penempatan fasilitas halte ujung dan lokasi rencana penempatan berikutnya;;Divisi Integrasi Angkutan;Closed;BOC;21-Mar-25;10-Apr-25;424;404;;;;;;;;;;;;;;;
Program Strategis ;Penetapan KPI dan target strategis pada Unit Bisnis TJ Academy dan Kepala Departemen;;Unit Bisnis TJ Academy;Closed;BOC;21-Mar-25;10-Jun-25;424;343;;;;;;;;;;;;;;;
Lainnya;Pelaksanaan audit KAP Tahun 2024;;Divisi Sumber Daya Manusia;Closed;BOC;21-Mar-25;31-Mar-25;424;414;;;;;;;;;;;;;;;
Program Strategis ;Pemenuhan jabatan kepala departemen yang masih vacant ;;Divisi Sumber Daya Manusia;Closed;BOC;21-Mar-25;30-Apr-25;424;384;;;;;;;;;;;;;;;
Program Strategis ;Progres implementasi QRIS BI versi terbaru di Transjakarta;;Divisi Sistem Teknologi dan Informasi;Closed;BOC;21-Mar-25;10-Apr-25;424;404;;;;;;;;;;;;;;;
Program Strategis ;Succession plan untuk Kepala Departemen ;;Divisi Sumber Daya Manusia;Closed;BOC;21-Mar-25;30-Apr-25;424;384;;;;;;;;;;;;;;;
Lainnya;Berdasarkan Hasil Kunjungan Dewan Komisaris, pada area pintu masuk Halte Pinang Ranti dipenuhi oleh Pedagang Kaki Lima (PKL) yang berpotensi mengganggu kenyamanan pelanggan. Terhadap hal tersebut, perlu dilakukan langkah-langkah persuasif terhadap PKL agar tidak mengganggu akses keluar masuk pelanggan;;Divisi Keselamatan dan Keamanan;Closed;BOC;21-Mar-25;30-Apr-25;424;384;;;;;;;;;;;;;;;
Lainnya;Berdasarkan Hasil Kunjungan Dewan Komisaris, pada area pintu masuk Halte Pinang Ranti dipenuhi oleh Pedagang Kaki Lima (PKL) yang berpotensi mengganggu kenyamanan pelanggan. Terhadap hal tersebut, perlu dilakukan langkah-langkah persuasif terhadap PKL agar tidak mengganggu akses keluar masuk pelanggan;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOC;21-Mar-25;30-Apr-25;424;384;;;;;;;;;;;;;;;
Lainnya;Berdasarkan Hasil Kunjungan Dewan Komisaris, pada Halte Pinang Ranti, lantai koridor menuju halte tidak ramah terhadap pelanggan disabilitas. Terhadap hal tersebut, perlu dibuatkan guiding block untuk memudahkan pelanggan disabilitias khususnya disabilitas netra;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Berdasarkan Hasil Kunjungan Dewan Komisaris, pada Halte Pinang Ranti, lantai koridor menuju halte tidak ramah terhadap pelanggan disabilitas. Terhadap hal tersebut, perlu dibuatkan guiding block untuk memudahkan pelanggan disabilitias khususnya disabilitas netra;;Divisi Pelayanan;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Berdasarkan Hasil Kunjungan Dewan Komisaris, beberapa halte berpotensi untuk diperlebar tapi bersandingan dengan aset Pemerintah Provinsi DKI Jakarta. Dibutuhkan data halte yang dapat di upsize dan beririsan dengan pihak mana saja (untuk dibantu dorong lebih lanjut, berdasarkan skala prioritas);;Divisi Pemasaran;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Penentuan batas waktu maksimal gajian;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Program Strategis ;Pelaksanaan kemitraan strategis untuk proses pemetaan sampai ke tahap asesmen/penilaian;;Unit Bisnis TJ Academy;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Penempatan salah satu Management Trainee di Unit Bisnis TJ Academy;;Divisi Sumber Daya Manusia;Closed;BOC;21-Mar-25;31-May-25;424;353;;Sudah terpenuhi 2 kepala departemen, 1 kepala seksi;;;;;;;;;;;;;
Lainnya;Pelaksanaan sosialisasi secara terstruktur, masif dan berjenjang sebelum dilakukan penyusunan Analisa Jabatan dan Analisa Beban Kerja sehingga karyawan memiliki pemahaman yang sama dalam menjawab kuesioner;;Divisi Sumber Daya Manusia;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Kinerja Perusahaan;Progres pembahasan naskah perjanjian dan kemungkinan pencairan uang muka PSO;;"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Tindak lanjut atas keluhan pelanggan agar dapat dimasukkan dalam kontrak operator. Dikarenakan pengelolaan keluhan pelanggan yang masuk melalui Omni Channel kurang menjadi perhatian para mitra operator.;;Divisi Operasional Bus;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
Lainnya;Tindak lanjut atas keluhan pelanggan agar dapat dimasukkan dalam kontrak operator. Dikarenakan pengelolaan keluhan pelanggan yang masuk melalui Omni Channel kurang menjadi perhatian para mitra operator.;;Divisi Integrasi Angkutan;Closed;BOC;21-Mar-25;31-May-25;424;353;;;;;;;;;;;;;;;
;Diskusi internal dan mematangkan kembali usulan perubahan struktur organisasi kewilayahan, dengan fokus pada penguatan fungsi pelayanan, percepatan respon terhadap aduan pelanggan, serta integrasi fungsi keamanan di halte;;Divisi Sumber Daya Manusia;Closed;BOD;15-Apr-25;22-Apr-25;399;392;;;;;;;;;;;;;;;
;Diskusi internal dan mematangkan kembali usulan perubahan struktur organisasi kewilayahan, dengan fokus pada penguatan fungsi pelayanan, percepatan respon terhadap aduan pelanggan, serta integrasi fungsi keamanan di halte;;Divisi Pelayanan;Closed;BOD;15-Apr-25;22-Apr-25;399;392;;;;;;;;;;;;;;;
;Diskusi internal dan mematangkan kembali usulan perubahan struktur organisasi kewilayahan, dengan fokus pada penguatan fungsi pelayanan, percepatan respon terhadap aduan pelanggan, serta integrasi fungsi keamanan di halte;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOD;15-Apr-25;22-Apr-25;399;392;;;;;;;;;;;;;;;
;Diskusi internal dan mematangkan kembali usulan perubahan struktur organisasi kewilayahan, dengan fokus pada penguatan fungsi pelayanan, percepatan respon terhadap aduan pelanggan, serta integrasi fungsi keamanan di halte;;Divisi Sistem Teknologi dan Informasi;Closed;BOD;15-Apr-25;22-Apr-25;399;392;;;;;;;;;;;;;;;
;Diskusi internal dan mematangkan kembali usulan perubahan struktur organisasi kewilayahan, dengan fokus pada penguatan fungsi pelayanan, percepatan respon terhadap aduan pelanggan, serta integrasi fungsi keamanan di halte;;Divisi Penjualan;Closed;BOD;15-Apr-25;22-Apr-25;399;392;;;;;;;;;;;;;;;
;Optimalisasi lahan yang masih tersedia untuk mendukung kebutuhan parkir secara maksimal, termasuk menyusun skema dan aturan penggunaan parkir menginap bagi karyawan.;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Optimalisasi lahan yang masih tersedia untuk mendukung kebutuhan parkir secara maksimal, termasuk menyusun skema dan aturan penggunaan parkir menginap bagi karyawan.;;Divisi Swakelola;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Proses lebih lanjut draft SK Direksi Kebijakan Parkir dan harus disosialisasikan serta dilaksanakan dengan konsisten;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Proses lebih lanjut draft SK Direksi Kebijakan Parkir dan harus disosialisasikan serta dilaksanakan dengan konsisten;;Divisi Swakelola;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;"Pembuatan standarisasi dan atur skema serta pengontrolan akses keluar masuk depo
termasuk pengaturan tata letak sehingga tercipta alur yang efektif efisien";;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;01-Jul-25;399;322;;;;;;;;;;;;;;;
;Pembuatan standarisasi dan atur skema serta pengontrolan akses keluar masuk depo termasuk pengaturan tata letak sehingga tercipta alur yang efektif efisien;;Divisi Swakelola;Closed;BOD;15-Apr-25;01-Jul-25;399;322;;;;;;;;;;;;;;;
;Pembuatan site map dan pembangunan batas fisik di depo untuk area terbatas dengan memperhatikan standarisasi pengaturan alur, flow, tata letak dan mekanisme yang efektif efisien di depo;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;01-Jul-25;399;322;;;;;;;;;;;;;;;
;Pembuatan site map dan pembangunan batas fisik di depo untuk area terbatas dengan memperhatikan standarisasi pengaturan alur, flow, tata letak dan mekanisme yang efektif efisien di depo;;Divisi Swakelola;Closed;BOD;15-Apr-25;02-Jul-25;399;321;02-Jul-25;;;;;;;;;;;;;;
;Pembuatan site map dan pembangunan batas fisik di depo untuk area terbatas dengan memperhatikan standarisasi pengaturan alur, flow, tata letak dan mekanisme yang efektif efisien di depo;;Divisi Keselamatan dan Keamanan;Closed;BOD;15-Apr-25;04-Jul-25;399;319;;;;;;;;;;;;;;;
;Area/jalur jogging track agar sudah selesai dan rampung maksimal dalam 3 bulan ke depan;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOD;15-Apr-25;04-Jul-25;399;319;;;;;;;;;;;;;;;
;Segera koordinasikan dengan Kepala Divisi Sumber Daya Manusia untuk melaksanakan In House Training terkait Fraud Risk Assessment (FRA) dan Fraud Control Plan (FCP) kepada para Risk Owner dan Risk Management Champion (RMC), serta lakukan evaluasi atas aktivitas pembelajarannya.;;Satuan Pengawas Internal;Closed;BOD;15-Apr-25;31-May-25;399;353;;4 dan 5 Juni, Seluruh kadept dan RMC. Di bagi untuk di buat 2 batch ;;;;;;;;;;;;;
;Segera buat regulasi dan ketentuan yang mengatur upaya pencegahan kerugian perusahaan, baik yang bersifat langsung (kerugian keuangan) maupun tidak langsung.;;Satuan Pengawas Internal;Closed;BOD;15-Apr-25;31-May-25;399;353;;PKB untuk sosialisasi ;;;;;;;;;;;;;
;Perlu segera dibuat ketentuan formal yang mengatur tentang kendaraan warga sekitar yang menumpang parkir di area depo cawang Transjakarta;;Divisi Swakelola;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Perlu segera dibuat ketentuan formal yang mengatur tentang kendaraan warga sekitar yang menumpang parkir di area depo cawang Transjakarta;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Lakukan percepatan dalam finalisasi detail struktur Transjakarta Academy dan koordinasikan pengisiannya dengan Kepala Divisi Sumber Daya Manusia, misal Relationship Manager ke mitra operator;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Susun tindakan korektif yang konkret terkait aset recovery agar potensi kerugian perusahaan dapat dipulihkan secara optimal.;;Satuan Pengawas Internal;Closed;BOD;15-Apr-25;31-May-25;399;353;;;;;;;;;;;;;;;
;Kepala Satuan Pengawas Internal diingatkan untuk menjalankan peran sebagai time keeper Direksi dalam hal pengendalian dan pencegahan risiko korupsi.;;Satuan Pengawas Internal;Closed;BOD;15-Apr-25;31-May-25;399;353;;;;;;;;;;;;;;;
;Barang-barang rongsokan di area depo agar segera dibersihkan dan dirapikan;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Periksa dan bereskan ketersediaan APAR dan Hydrant yang harus ada di setiap luasan area depo sesuai ketentuan, jika perlu lakukan penambahan dan penataan kembali, ditargetkan dalam 2 bulan ke depan sudah selesai;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;01-Jul-25;399;322;;;;;;;;;;;;;;;
 ;Periksa dan bereskan ketersediaan APAR di setiap luasan area depo sesuai ketentuan, jika perlu lakukan penambahan dan penataan kembali, ditargetkan dalam 2 bulan ke depan sudah selesai;;Divisi Keselamatan dan Pengawasan Operasional;Open;BOD;15-Apr-25;02-Jul-25;399;321;;;;;;;;;;;;;;;
;Pastikan penyediaan Hydrant di depo terintegrasi dalam desain perencanaan Depo (koordinasikan dengan Divisi Swakelola);;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOD;15-Apr-25;02-Jul-25;399;321;;"Akan di open lagi thn 2026.
Desain hydrant kawasan depo cawang rencana awal akan dikerjakan oleh tim internal namun tidak bisa karena terkendala data kondisi tanah yang tidak tersedia dan alat pengecekan kondisi tanah juga tidak tersedia, oleh karena itu akan di desain oleh konsultan untuk hydrant kawasan keseluruhan di tahun 2026";;;;;;;;;;;;;
;Untuk sterilisasi lahan Depo, carikan lokasi untuk relokasi area serikat;;Divisi Sumber Daya Manusia dan Umum;Open;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Diskusi terkait masalah lahan serikat di area Depo bersama dengan Kepala Divisi Sumber Daya Manusia dan Kepala Divisi Sekretaris Perusahaan dan Humas;;Divisi Umum dan Pengadaan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Lakukan sertifikasi untuk Pramudi yang belum perpanjangan/belum ada sertifikat agar segera melakukan sertifikasi mulai minggu ke-3 bulan Mei 2025 ;;Divisi Swakelola;Closed;BOD;15-Apr-25;30-Jun-25;399;323;;;;;;;;;;;;;;;
;Lakukan sertifikasi untuk Pramudi yang belum perpanjangan/belum ada sertifikat agar segera melakukan sertifikasi mulai minggu ke-3 bulan Mei 2025 ;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;30-Jun-25;399;323;;;;;;;;;;;;;;;
;Segera susun perencanaan target tahunan Transjakarta Academy lengkap dengan proyeksi pendapatan (forecast), termasuk kalkulasi sumber revenue dari pelatihan pramudi hingga akhir tahun 2025. Sajikan hasilnya kepada Direksi, dengan target bahwa pada Juni 2025 kegiatan pelatihan ini sudah berjalan sebagai salah satu sumber revenue utama.;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Terapkan kebijakan dan aturan yang mendukung operasional Strategic Business Unit (SBU) Transjakarta Academy agar mampu menghasilkan laporan mandiri dan independen yang tersusun secara proper.;;Divisi Keuangan;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Milestone penting hingga Desember 2025 agar di-highlight, termasuk pembelajaran seperti pentingnya persiapan lebih awal. Misalnya, meningkatnya minat personel dapat diantisipasi melalui kampanye dan kerja sama dengan PPKD, sehingga pelatihan bisa dilakukan di PPKD dan ujian sertifikasi di Transjakarta Academy.;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Lakukan mapping kebutuhan sertifikasi kompetensi dari lingkup eksternal bagi para instruktur TJ Academy termasuk skema perikatan pembiayaan. ;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;29-Apr-25;399;385;;;;;;;;;;;;;;;
;Segera siapkan profil lengkap para instruktur dan identifikasi keunggulan softskill maupun hardskill yang bisa ditawarkan. Lakukan juga pemetaan kompetensi, dan bila perlu di fase awal, dapat melibatkan pengajar eksternal sebagai bagian dari proses pembelajaran bagi instruktur internal.;;Unit Bisnis TJ Academy;Closed;BOD;15-Apr-25;31-May-25;399;353;;;;;;;;;;;;;;;
;Pembuatan IPAL dan Sertifikasi SLO: Koordinasikan dengan Tim Prasarana, Tim Umum, dan Tim Swakelola;;Divisi Keselamatan dan Pengawasan Operasional;Open;BOD;22-Apr-25;06-May-25;392;378;;;;;;;;;;;;;;;
;"Membantu agar hasil review dan rekomendasi BPKP segera keluar terhadap JLI dan
para pemegang sahamnya. Serta melakukan persiapan untuk TJ segera dipanggil oleh
Gubernur/tim terkait JLI.";;Satuan Pengawas Internal;Closed;BOD;22-Apr-25;29-Apr-25;392;385;;"Hari Rabu, tanggal 21 Mei 2025 antar MRT, JLI, TJ dan BPKP. 

Surat tugas auditnya sampai pertengahan Juni. (Lead: Pak Galuh)";;;;;;;;;;;;;
;Pemetaan man power di Prasarana untuk kualitas petugas/teknisi;;Divisi Sumber Daya Manusia;Closed;BOD;22-Apr-25;06-May-25;392;378;;;;;;;;;;;;;;;
;Pemetaan man power di Prasarana untuk kualitas petugas/teknisi;;Divisi Pengembangan dan Pengelolaan Prasarana;Closed;BOD;22-Apr-25;06-May-25;392;378;;;;;;;;;;;;;;;
;"Studi komprehensif untuk perubahan struktur pelayanan di halte untuk di bawah divisi
pelayanan (di bawah korwil atau korwil) serta mitigasi risiko terhadap jobsdesc, loop
hole dll";;Divisi Pelayanan;Closed;BOD;22-Apr-25;06-May-25;392;378;;;;;;;;;;;;;;;
;"Berkoordinasi dengan Sekper, Legal, dan Keuangan untuk bersurat terkait
perubahan sistem JLI oleh mitra menjadi CCHS";;Divisi Sistem Teknologi dan Informasi;Closed;BOD;22-Apr-25;23-Apr-25;392;391;;;;;;;;;;;;;;;
;Bersurat ke BP BUMD/Gubernur (sesuai dengan Pergub 63 tahun 2020) terkait progres dan laporan Pelaksanaan Integrasi Pembayaran Antar Moda dengan JLI (berdasarkan Pergub setiap 6 bulan sekali);;Divisi Sekretaris Perusahaan dan Hubungan Masyarakat;Closed;BOD;22-Apr-25;24-Apr-25;392;390;;;;;;;;;;;;;;;
;Bersurat ke BP BUMD/Gubernur (sesuai dengan Pergub 63 tahun 2020) terkait progres dan laporan Pelaksanaan Integrasi Pembayaran Antar Moda dengan JLI (berdasarkan Pergub setiap 6 bulan sekali);;Divisi Legal dan Kepatuhan;Closed;BOD;22-Apr-25;24-Apr-25;392;390;;;;;;;;;;;;;;;
;Bersurat ke BP BUMD/Gubernur (sesuai dengan Pergub 63 tahun 2020) terkait progres dan laporan Pelaksanaan Integrasi Pembayaran Antar Moda dengan JLI (berdasarkan Pergub setiap 6 bulan sekali);;Divisi Sistem Teknologi dan Informasi;Closed;BOD;22-Apr-25;24-Apr-25;392;390;;;;;;;;;;;;;;;
;"Perjelas definisi dari data yang diminta oleh Annual Report, lengkapi semua data sesuai
dengan pic data";;Divisi Sekretaris Perusahaan dan Hubungan Masyarakat;Closed;BOD;22-Apr-25;23-Apr-25;392;391;;;;;;;;;;;;;;;
